Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
mediamart.vn,https://mediamart.vn/quat/midea/quat-ban-midea-ft30y8b.htm,,Midea,Quạt,Quạt bàn Midea FT30-Y8B,389.000,,," . - Có 3 tốc độ quay, dễ điều chỉnh mức gió phù hợp.. - Tốc độ quay nhanh và êm.. - Chất liệu cánh quạt: Nhựa PP.. - Chất liệu thân và đế: Nhựa ABS.. . . . . Hình ảnh tham khảo: Quạt bàn Midea FT30-Y8B. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt bàn Midea FT30-Y8B. . . . . . . . . . Thông tin: Quạt bàn Midea FT30-Y8B. . . Thiết kế thời trang. Quạt bàn Midea FT30-Y8B màu sắc trang nhã sẽ là một điểm nhấn cho góc bàn làm việc, góc học tập hay phòng ngủ…. . . 3 cấp độ gió khác nhau. Quạt có 3 cấp độ gió giúp người tiêu dùng có thể thay đổi tốc độ gió theo sở thích và mục đích sử dụng dễ dàng hơn.. . . Tút đảo chiều. Nút bấm điều khiển trạng thái quạt đứng hoặc quay, nếu muốn chuyển hướng trái, phải để luồng gió trải rộng hơn chỉ cần một động tác nhấn nút đơn giản.. . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/senko/quat-lung-ong-sat-senko-ls103.htm,,Senko,Quạt,Quạt lửng ống sắt Senko LS103,365.000,,," . - Loại: Quạt lửng ống sắt. - Màu sắc: xanh. . - Công suất 47W./ Đường kính cánh quạt: 40 cm. . - Tốc độ :03 cấp tốc độ. . . . . Hình ảnh tham khảo: Quạt lửng ống sắt Senko LS103. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt lửng ống sắt Senko LS103. . . . . . . . . . Thông tin: Quạt lửng ống sắt Senko LS103. . . Quạt lửng Senko LS103 – Thiết kế trẻ trung cùng khả năng làm mát vượt trội. . Kích thước gọn nhẹ giúp di chuyển tiện lợi. Quạt Senko có kích thước nhỏ gọn giúp việc di chuyển và bảo quản trở nên tiện lợi, dễ dàng. Thiết kế màu xanh trẻ trung, sang trọng của sản phẩm giúp không gian ngôi nhà bạn trở nên sáng sủa, đẹp mắt hơn.. . . Thiết kế nhỏ gọn với màu xanh ngọc sang trọng. . Thiết kế cánh quạt đặc biệt cho hiệu quả làm mát tối ưu. Cánh quạt có thiết kế sải cánh rộng 40cm giúp làn gió trải rộng với khả năng làm mát toàn bộ không gian căn phòng của bạn.. . . Thiết kế cánh quạt sải rộng cho hiệu quả làm mát tối ưu. . 3 chế độ gió tiện lợi khi sử dụng. Quạt được tích hợp 3 chế độ gió ở mức nhẹ, trung bình và mạnh tăng theo 3 tốc độ quay giúp người dùng có sự lựa chọn phù hợp cho từng nhu cầu sử dụng. Đặc biệt, động cơ motor bạc thau cao cấp giúp quạt hoạt động êm ái và góp phần kéo dài tuổi thọ sản phẩm.. Hơn thế, chế độ xoay chiều trái phải và điều chỉnh chiều cao linh hoạt cho góc thổi của hướng gió rộng giúp làm mát hiệu quả cho cả một không gian rộng.. . . Nút chọn chế độ gió với thiết kế nút lồi được bố trí rõ ràng dễ sử dụng. . An toàn khi sử dụng với thiết kế lồng quạt đan khít. Thiết kế lồng quạt đan khít với nhau mang đến sự an toàn tuyệt đối cho người sử dụng và đặc biệt là trẻ em. Hơn nữa, lồng quạt có thể tháo lắp dễ dàng giúp việc vệ sinh sản phẩm trở nên dễ dàng hơn. . . Thiết kế lồng quạt đan khít mang đến sự an toàn cho trẻ nhỏ. . Quạt lửng Senko LS103 có thiết kế nhỏ gọn, linh hoạt phù hợp với nhu cầu của mọi gia đình và các bạn sinh viên. Với những tính năng nổi trội mà sản phẩm mang lại, quạt lửng Senko LS103 sẽ là một sự lựa chọn tuyệt vời cho gia đình bạn.. . . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/panasonic/quat-treo-tuong-panasonic-f-409mg.htm,,Panasonic,Quạt,Quạt treo tường Panasonic F- 409MG,1.780.000,,," . Hộp động cơ hoạt động êm ái không gây tiếng ồn khi ngủ.. . Trang bị chức năng điều khiển từ xa cho phép bạn điều chỉnh tắt/mở quạt, tốc độ gió.. . Tính năng hẹn giờ ngủ tiện lợi giúp tiết kiệm điện năng tối ưu và làm tăng tuổi thọ cho sản phẩm.. . . . . . . . . Hình ảnh tham khảo: Quạt treo tường Panasonic F- 409MG. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt treo tường Panasonic F- 409MG. . . . . . . . . . Thông tin: Quạt treo tường Panasonic F- 409MG. . . Quạt treo Panasonic F-409MG – Thiết kế hiện đại, động cơ hoạt động mạnh mẽ. . . Thiết kế hiện đại, đẹp mắt. Quạt treo Panasonic F-409MG có thiết kế hiện đại, đẹp mắt, màu sắc tươi sáng, dạng treo tường tiện dụng, không những giúp tiết kiệm diện tích đáng kể còn đem đến cho không gian nhà bạn sự thông thoáng, thoải mái.. . . Thiết kế hiện đại, màu sắc tươi sáng. . Điều khiển từ xa thông minh. Quạt được trang bị chức năng điều khiển từ xa cho phép bạn điều chỉnh tắt/mở quạt, tốc độ gió, chuyển hướng xoay chiều, hẹn giờ dễ dàng mà không cần di chuyển lại gần quạt, tiện lợi khi sử dụng.(Xem thêm Các chức năng đặc biệt của quạt). . . Điều khiển từ xa thông minh. . Tính năng hẹn giờ ngủ tiện lợi. Quạt có tính năng hẹn giờ ngủ tự động từ 1, 3, 6 tiếng tiện lợi, có khả năng tự động tắt tại thời điểm bạn mong muốn, giúp bạn bảo vệ sức khỏe gia đình mình tốt hơn, giúp tiết kiệm điện năng tối ưu và làm tăng tuổi thọ cho sản phẩm.. . . Tính năng hẹn giờ ngủ tự động tiện lợi. . Động cơ bạc đạn cao cấp. Quạt sử dụng động cơ bạc đạn cao cấp cho khả năng vận hành êm ái, có độ bền cao, giúp tạo ra luồng gió mạnh liên tục.. . Thiết kế cánh quạt sải rộng, 3 tốc độ gió linh hoạt. Cánh quạt được thiết kế sải rộng với đường kính 40cm, giúp làn gió trải rộng, làm mát cho không gian có diện tích lớn.. Quạt có 3 tốc độ gió, điều chỉnh dễ dàng với điều khiển từ xa, giúp người dùng có nhiều lựa chọn phù hợp với nhu cầu của mình.. . . . Thiết kế cánh quạt sải rộng cho làn gió trải rộng. . Ngoài ra, lồng quạt được thiết kế đan khít vào nhau, tháo lắp đơn giản, vệ sinh dễ dàng.. . . Lồng quạt tháo lắp dễ dàng, tiện vệ sinh. . Thương hiệu nổi tiếng Nhật Bản. Quạt treo Panasonic F-409MG mang thương hiệu nổi tiếng Panasonic của Nhật Bản, được sản xuất tại Malaysia. Người dùng có thể hoàn toàn yên tâm về độ an toàn, độ bền cũng như tính năng sử dụng hiệu quả của sản phẩm.. . . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/panasonic/quat-tran-panasonic-f-56mzg-s.htm,,Panasonic,Quạt,Quạt trần Panasonic F-56MZG-S,2.190.000,,," . Quạt trần chất lượng bền bỉ, tiện lợi, an toàn cho người sử dụng. Quạt trần có sải cánh lớn giúp luồng gió được phân tán đều cho căn phòng. Bạc đạn của quạt trần được bôi trơn làm tăng tuổi thọ của quạt, vận hành êm ái. Thương hiệu Panasonic là thương hiệu uy tín, được người tiêu dùng tin tưởng.. . . . . Hình ảnh tham khảo: Quạt trần Panasonic F-56MZG-S. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt trần Panasonic F-56MZG-S. . . . . . . . . . Thông tin: Quạt trần Panasonic F-56MZG-S. . . . Thiết kế thời trang. Quạt 4 cánh thiết kế sang trọng và điều khiển từ xa thuận lợi trong khi sử dụng, bạn không cần phải di chuyển nhiều lần để vận hành quạt.. . . . Chức năng hẹn giờ. Chức năng hẹn giúp người sử dụng chủ động trong việc cài đặt thời gian sử dụng, đồng thời tiết kiệm điện năng cho gia đình.. . . . . Tính năng an toàn. Trang bị dây an toàn đề phòng động cơ và cánh quạt điện rơi khỏi ti. Hệ thống ngắt mạch tự động, đặc biệt hữu ích khi người dùng quên không tắt quạt trong thời gian dài. Công tắc an toàn giúp bảo vệ động cơ quạt.. . . . Độ bền cao. Cánh quạt được phủ lớp sơn đặc biệt chống rỉ sét mang lại giá trị sử dụng lâu dài và bền bỉ cho người sử dụng. . . . . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/midea/quat-treo-tuong-midea-fw40-7jr.htm,,Midea,Quạt,Quạt treo tường Midea FW40-7JR,690.000,,," . Được làm bằng nhựa cao cấp, ít bám bụi. Các bộ phận có thể tách rời giúp dễ dàng vệ sinh. Chế độ hẹn trong 7.5 giờ, thích hợp khi ngủ. . . . . Hình ảnh tham khảo: Quạt treo tường Midea FW40-7JR. . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt treo tường Midea FW40-7JR. . . . . . . . . . Thông tin: Quạt treo tường Midea FW40-7JR. . . . Có 3 tốc độ gió. . Quạt treo tường có đk FW40-7JR. có 3 tốc độ gió: tốc độ gió bình thường, tốc độ gió tự nhiên và tốc độ gió khi ngủ để bạn chọn.. . . . Điều khiển từ xa. . Quạt treo tường có đk FW40-7JR. được thiết kế có thể điều khiển từ xa rất tiện lợi, bạn không cần phải di chuyển khi muốn bật hoặc tắt quạt.. . . Dễ dàng vệ sinh. Quạt được làm bằng nhựa cao cấp, ít bám bụi và các bộ phận có thể tách rời giúp bạn dễ dàng vệ sinh.. . . . Chế độ hẹn giờ. Quạt có chế độ hẹn trong 7.5 giờ, chế độ này rất thích hợp để bạn lựa chọn trong lúc ngủ. Quạt tạo luồng gió đều theo nhiều hướng, mang đến cho căn phòng của bạn bầu không khí mát mẻ.. . . . . . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/midea/quat-dung-midea-fs4015q.htm,,Midea,Quạt,Quạt đứng Midea FS40-15Q,780.000,,," . 5 cánh quạt nhựa ABS thổi gió đều và xa hơn. Motor SQD hiệu suất cao, siêu êm, siêu bền. Quạt cơ với nút nhất mềm, 3 mức gió và hẹn giờ 2 tiếng. Xoay trái phải, điều chỉnh chiều cao và góc thổi dễ dàng. . . . . Hình ảnh tham khảo: Quạt đứng Midea FS40-15Q. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt đứng Midea FS40-15Q. . . . . . . . . . Thông tin: Quạt đứng Midea FS40-15Q. . . Thiết kế gọn nhẹ, dễ di chuyển. Quạt đứng Midea FS40-15Q được thiết kế hiện đại, gọn nhẹ, dễ dàng di chuyển và lắp đặt ở mọi không gian. Sản phẩm thích hợp cho không gian phòng khách, phòng ngủ, phòng làm việc... Chân quạt to, bằng phẳng giúp hoạt động ổn định, hạn chế tiếng ồn.. . . Thiết kế 5 cánh siêu mát. Với thiết kế quạt 5 cánh có đường kính 40 cm và công suất hoạt động 50W giúp tạo ra luồng gió mát, kể cả trong diện tích rộng, tiết kiệm điện năng tối ưu. Giờ đây bạn có thể yên tâm chăm sóc sức khỏe cho gia đình mà không còn lo chi phí điện phát sinh hàng tháng.. . . . . 3 tốc độ gió và hẹn giờ 2 tiếng. Quạt đứng FS40-15Q có 3 mức độ gió từ nhẹ đến mạnh và 3 chế độ gió: gió thường, gió tự nhiên, gió ru ngủ, người dùng có thể tùy theo nhu cầu và thời tiết để chọn tốc độ, chế độ thích hợp, đảm bảo sức khỏe cho mọi thành viên trong gia đình.. . . Chức năng hẹn giờ 2 tiếng. Ngoài ra, quạt đứng Midea FS40-15Q còn có chức năng hẹn giờ trong 2 tiếng tiện lợi, giúp bạn tiết kiệm điện năng và không quá lạnh vào ban đêm.. . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/midea/quat-cay-midea-fs4015qr-co-dieu-khien.htm,,Midea,Quạt,Quạt cây Midea FS40-15QR có điều khiển,950.000,,," . Đường kính cánh quạt dài 40 cm, công suất 55 W cho khả năng làm mát cao.. Quạt Midea có 3 tốc độ gió, bạn tùy chọn thích hợp theo nhu cầu sử dụng.. Thiết kế chiều cao quạt điều chỉnh linh hoạt.. Chế độ hẹn giờ tắt thông minh, điều khiển từ xa hiện đại.. . . . . Hình ảnh tham khảo: Quạt cây Midea FS40-15QR có điều khiển. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt cây Midea FS40-15QR có điều khiển. . . . . . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/midea/quat-treo-tuong-midea-fw406h.htm,,Midea,Quạt,Quạt treo tường Midea FW40-6H,490.000,,," . Kiểu dáng treo tường hiện đại, tiết kiệm không gian.. Quạt treo tưởng 3 tốc độ gió đáp ứng nhu cầu làm mát khác nhau.. Cánh quạt sải rộng 40 cm tản gió hiệu quả ở không gian rộng.. . . . . Hình ảnh tham khảo: Quạt treo tường Midea FW40-6H. . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt treo tường Midea FW40-6H. . . . . . . . . . Thông tin: Quạt treo tường Midea FW40-6H. . . Thiết kế nhỏ gọn. Quạt treo tường Midea FW406H có thiết kế treo tường, kiểu dáng nhỏ gọn không chiếm nhiều diện tích, thích hợp với mọi không gian sử dụng.. . . 3 tốc độ gió. Quạt có 3 mức độ hoạt động cho phép người sử dụng tùy chỉnh tốc độ vừa ý. Với tốc độ vòng quay cao sẽ làm cho vùng không gian xung quanh trở nên thoáng mát tức thì, mang đến cảm giác thoải mái.. . . Độ an toàn cao. Quạt treo tường Midea FW406H rất an toàn với phần motor được lắp đặt cầu chì chống cháy nổ ngắt dòng tiện ngay khi có sự cố xảy ra.. . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/komasu/quat-treo-tuong-komasu-km750s.htm,,Komasu,Quạt,Quạt treo tường Komasu KM750S,1.935.000,,," . Quạt chạy êm, tiết kiệm điện. . Giá quạt bám chắc tường, chắc chắn, an toàn tuyệt đối. . Quạt công nghiệp treo tường lồng sơn Komasu KM750S cho lưu lượng gió lớn, phù hợp với gia đình, công sở có không gian rộng lớn. . . . . Hình ảnh tham khảo: Quạt treo tường Komasu KM750S. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt treo tường Komasu KM750S. . . . . . . . . . Thông tin: Quạt treo tường Komasu KM750S. . . Quạt treo tường công nghiệp lồng sơn Komasu KM750S. Quạt treo tường công nghiệp Komasu cho lưu lượng gió lớn, tiết kiệm điện, đạt 5 sao về hiệu suất năng lượng trong chương trình dán nhãn tiết kiệm năng lượng do Bộ Công Thương tổ chức. Việc dán nhãn năng lượng nhằm mục đích khuyến khích các sản phẩm sử dụng năng lượng hiệu suất cao, tiến tới không sử dụng các sản phẩm tiêu tốn nhiều năng lượng. Sản phẩm quạt Komasu được dán nhãn 5 sao là minh chứng rõ nhất về hiệu quả tiết kiệm năng lượng, đảm bảo tiết kiệm điện năng cho người tiêu dùng.. . . . Quạt công nghiệp treo tường lồng sơn Komasu KM750S. Quạt công nghiệp treo tường lồng sơn Komasu KM750S thiết kế 03 cánh sắt với chiều dài sải cánh 75cm cho lưu lượng gió lớn lên đến 18000m3/giờ, đây là một trong những sản phẩm quạt công nghiệp được lựa chọn sử dụng nhiều, không chỉ cho mục đích công nghiệp mà còn được sử dụng trong những gia đình có không gian rộng hay các quán ăn, nhà hàng.... . Lựa chọn quạt công nghiệp treo tường chất lượng, công suất phù hợp nhu cầu sử dụng. Quạt treo tường là một thiết bị truyền thống được sử dụng phổ biến trong các gia đình tại Việt Nam nhờ khả năng làm mát rộng, dễ sử dụng , rất an toàn, đặc biệt đối với gia đình có trẻ nhỏ. Trong những ngày hè oi ả thì nhu cầu sử dụng quạt điện của mọi người càng nhiều hơn. Tuy nhiên, để lựa chọn được một chiếc quạt chất lượng, công suất phù hợp với nhu cầu sử dụng là khá khó khăn trong khi bên ngoài thị trường có quá nhiều sản phẩm quạt công nghiệp với nhiều chủng loại và kích thước khác nhau. Công suất được lựa chọn phụ thuộc vào diện tích phòng sử dụng. Cần lựa chọn quạt công nghiệp có độ mạnh không khí được khuyếch tán từ quạt phải đủ để làm mát không gian lắp đặt. Tiêu chí làm mát này phụ thuộc vào kích thước của quạt và công suất của động cơ được sử dụng bên trong quạt. Động cơ càng lớn thì khả năng làm mát càng cao, tuy nhiên chỉ nên lựa chọn sản phẩm có công suất đủ làm mát không gian lắp đặt nhằm tiết kiệm điện năng.. . Quạt công nghiệp treo tường Komasu KM750S an toàn với trẻ nhỏ. Quạt công nghiệp treo tường Komasu có thân sơn tĩnh điện, được cố định chắc chắn vào tường bằng các nở sắt, tay treo vững chắc giữ ổn định, cho quạt chạy với công suất lớn nhất mà không bị rung lắc.. Quạt có 3 cánh với chiều dài sải cánh lên đến 75cm, chế độ quay trái quay phải với góc quay 120 độ giúp làn gió trải rộng, làm mát đều cho phòng có diện tích lớn.. Với 3 cấp độ gió linh hoạt có thể lựa chọn chế độ mạnh yếu tùy thuộc nhu cầu sử dụng cho phù hợp, quạt công nghiệp treo tường Komasu có thể cung cấp lưu lượng gió lên tới 18000m3/h, làn gió nhanh, mạnh và làm mát ngay tức thì. Quạt treo tường Komasu có công suất lớn giúp động cơ của quạt hoạt động mạnh mẽ, độ ồn thấp, hoạt động trong nhiều giờ mà không làm nóng động cơ. . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/quat/mitsubishi/quat-treo-tuong-mitsubishi-co-dieu-khien-w16-rt-bl.htm,,Mitsubishi,Quạt,Quạt treo tường Mitsubishi có điều khiển W16-RT BL,1.590.000,,," . Điều khiển từ xa dễ dàng điều chỉnh và tiện lợi hơn cho người dùng.. 3 chế độ gió và tính năng hẹn giờ phục vụ cho mọi nhu cầu sinh hoạt gia đình.. Sử dụng tiết kiệm điện, độ bền cao. . . . . Hình ảnh tham khảo: Quạt treo tường Mitsubishi có điều khiển W16-RT BL. . . . . . . . . . . . . . . Thông số kỹ thuật: Quạt treo tường Mitsubishi có điều khiển W16-RT BL. . . . . . . . . . Thông tin: Quạt treo tường Mitsubishi có điều khiển W16-RT BL. . . Thiết kế nhỏ gọn. Quạt treo tường Mitsubishi W16-RT BL có thiết kế nhỏ gọn, sang trọng và đẹp mắt. Hơn thế, quạt treo tường được lắp đặt ngoài tầm với của trẻ em không những mang đến sự an toàn khi sử dụng mà còn giúp tiết kiệm không gian sinh hoạt cho gia đình bạn.. . . 3 chế độ gió tiện lợi. Quạt có tốc độ quay tối đa lên đến 1200 v/p giúp làm mát nhanh chóng và hiệu quả. Tích hợp 3 mức độ gió và có chế độ gió mát tự nhiên với cường độ mạnh nhẹ liên tiếp như gió trời cho bạn sự lựa chọn phù hợp với từng điều kiện thời tiết và mục đích sử dụng.. . . Cánh quạt bằng nhựa cao cấp. Quạt treo tường Mitsubishi W16-RT BL cánh quạt được làm từ nhựa cao cấp, trong suốt vừa giúp giữ quạt hoạt động bền lâu, vừa giúp bạn dễ dàng quan sát bụi bẩn bám trên quạt để việc vệ sinh sản phẩm hiệu quả hơn.. . . . Điều khiển từ xa. Quạt treo tường Mitsubishi W16-RT BL trang bị điều khiển từ xa thông minh với khả năng điều chỉnh chế độ gió, chuyển hướng xoay chiều, hẹn giờ từ xa mà không cần di chuyển đến gần mang lại sự tiện lợi cho người sử dụng.. . . . . . 4 chế độ hẹn giờ. Quạt tích hợp 4 chế độ hẹn giờ ngủ 1 tiếng, 2 tiếng, 4 tiếng, 8 tiếng tiện lợi giúp bạn thoải mái hẹn trước thời gian tắt quạt phù hợp, giúp bảo vệ sức khoẻ và tiết kiệm điện năng.. . . . Động cơ bạc đạn cao cấp. Quạt treo tường Mitsubishi được trang bị động cơ motor bạc đạn cao cấp được bôi trơn trong suốt quá trình hoạt động cho quạt hoạt động êm ái và giúp kéo dài tuổi thọ sản phẩm.. . . . . . . . . Tư Vấn Mua Quạt mát. . . . . . ",""""""
